NM_MUNICIPIO,DS_CARGO,DT_ELEICAO,NM_URNA_CANDIDATO,NM_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
AMAPÁ,Vereador,06/10/2024,COELHINHO,Partido dos Trabalhadores,PT,3
AMAPÁ,Vereador,06/10/2024,JAYA,Partido dos Trabalhadores,PT,2
AMAPÁ,Vereador,06/10/2024,PROFESSOR CARLOS GOMES,Partido dos Trabalhadores,PT,26
AMAPÁ,Vereador,06/10/2024,PROFESSORA MARILU,Partido dos Trabalhadores,PT,154
AMAPÁ,Vereador,06/10/2024,EDSON CORREA ACS,Partido dos Trabalhadores,PT,90
AMAPÁ,Vereador,06/10/2024,MARCELINO SUCUPIRA,Partido Comunista do Brasil,PC do B,269
AMAPÁ,Vereador,06/10/2024,ADRIANA,Partido Comunista do Brasil,PC do B,7
AMAPÁ,Vereador,06/10/2024,MYSTERSAN,Partido Comunista do Brasil,PC do B,53
AMAPÁ,Vereador,06/10/2024,JOYANNE CAMBRAIA,REPUBLICANOS,REPUBLICANOS,215
AMAPÁ,Vereador,06/10/2024,PROFESSOR WILLIAN,REPUBLICANOS,REPUBLICANOS,162
AMAPÁ,Vereador,06/10/2024,GABRIEL ASSUNÇÃO,REPUBLICANOS,REPUBLICANOS,21
AMAPÁ,Vereador,06/10/2024,ÂNGELO SUCUPIRA,REPUBLICANOS,REPUBLICANOS,115
AMAPÁ,Vereador,06/10/2024,AVANIRA DE OLIVEIRA,REPUBLICANOS,REPUBLICANOS,140
AMAPÁ,Vereador,06/10/2024,DANILO SOUZA,REPUBLICANOS,REPUBLICANOS,165
AMAPÁ,Vereador,06/10/2024,EDNA MACIEL,REPUBLICANOS,REPUBLICANOS,12
AMAPÁ,Vereador,06/10/2024,PROFESSORA ROSELY,Partido Democrático Trabalhista,PDT,350
AMAPÁ,Vereador,06/10/2024,DRA ROBERTA,Partido Democrático Trabalhista,PDT,246
AMAPÁ,Vereador,06/10/2024,CUPÚ,Partido Democrático Trabalhista,PDT,19
AMAPÁ,Vereador,06/10/2024,JÓ CYRILLO,Partido Democrático Trabalhista,PDT,45
AMAPÁ,Vereador,06/10/2024,GESSICA,Partido Democrático Trabalhista,PDT,8
AMAPÁ,Vereador,06/10/2024,BOGA,Partido Democrático Trabalhista,PDT,57
AMAPÁ,Vereador,06/10/2024,RENAN MONTEIRO,Partido Democrático Trabalhista,PDT,239
AMAPÁ,Vereador,06/10/2024,IRMÃO JOÃO,Partido Democrático Trabalhista,PDT,33
AMAPÁ,Vereador,06/10/2024,PROFESSOR MARQUINEY,Partido Democrático Trabalhista,PDT,15
AMAPÁ,Vereador,06/10/2024,VICKTORIA CARVALHO,Partido Democrático Trabalhista,PDT,8
AMAPÁ,Vereador,06/10/2024,ERICK MUNIZ,Movimento Democrático Brasileiro,MDB,239
AMAPÁ,Vereador,06/10/2024,FÁBIO CAMBRAIA,Movimento Democrático Brasileiro,MDB,149
AMAPÁ,Vereador,06/10/2024,PROFESSORA SAYONARA,Movimento Democrático Brasileiro,MDB,201
AMAPÁ,Vereador,06/10/2024,EDICLEUMA,Movimento Democrático Brasileiro,MDB,13
AMAPÁ,Vereador,06/10/2024,ASSISTENTE SOCIAL NAIR LOPES,Movimento Democrático Brasileiro,MDB,70
AMAPÁ,Vereador,06/10/2024,PROFESSORA RUBENILDA,Movimento Democrático Brasileiro,MDB,73
AMAPÁ,Vereador,06/10/2024,IAGO COSTA,Movimento Democrático Brasileiro,MDB,12
AMAPÁ,Vereador,06/10/2024,DIEGO MONTEIRO,Partido Liberal,PL,185
AMAPÁ,Vereador,06/10/2024,LUCAS PACHECO,Partido Liberal,PL,66
AMAPÁ,Vereador,06/10/2024,GIR LEY DIAS,Partido Liberal,PL,126
AMAPÁ,Vereador,06/10/2024,MARANHÃO,Partido Liberal,PL,88
AMAPÁ,Vereador,06/10/2024,LUCIANA MACIEL,Partido Liberal,PL,162
LARANJAL DO JARI,Vereador,06/10/2024,JOEL GOMES,Partido dos Trabalhadores,PT,14
LARANJAL DO JARI,Vereador,06/10/2024,LETICIA MILHOMEM,Partido Comunista do Brasil,PC do B,38
LARANJAL DO JARI,Vereador,06/10/2024,SEU CLAUDIO,Rede Sustentabilidade,REDE,563
LARANJAL DO JARI,Vereador,06/10/2024,NILSINHO LIMA,Rede Sustentabilidade,REDE,425
LARANJAL DO JARI,Vereador,06/10/2024,ETA MOARES,Rede Sustentabilidade,REDE,409
LARANJAL DO JARI,Vereador,06/10/2024,PRETO CONCEIÇÃO,Rede Sustentabilidade,REDE,388
LARANJAL DO JARI,Vereador,06/10/2024,MOCOTÓ,Rede Sustentabilidade,REDE,71
LARANJAL DO JARI,Vereador,06/10/2024,CIRLEY DUARTE,Rede Sustentabilidade,REDE,363
LARANJAL DO JARI,Vereador,06/10/2024,CLEITON DAS MALVINAS,Rede Sustentabilidade,REDE,99
LARANJAL DO JARI,Vereador,06/10/2024,ROSA,Rede Sustentabilidade,REDE,14
LARANJAL DO JARI,Vereador,06/10/2024,PROF HOMERO BARAÚNA,Rede Sustentabilidade,REDE,143
LARANJAL DO JARI,Vereador,06/10/2024,CLEY BASTOS,Rede Sustentabilidade,REDE,376
LARANJAL DO JARI,Vereador,06/10/2024,RAIMUNDO PEDRA,Rede Sustentabilidade,REDE,45
LARANJAL DO JARI,Vereador,06/10/2024,PATRICIA DIAS,Rede Sustentabilidade,REDE,14
LARANJAL DO JARI,Vereador,06/10/2024,PROF MARCILEIDE PIMENTA,Rede Sustentabilidade,REDE,29
LARANJAL DO JARI,Vereador,06/10/2024,EZIO MORAES,Partido Democrático Trabalhista,PDT,732
LARANJAL DO JARI,Vereador,06/10/2024,ANA DUARTE,Partido Democrático Trabalhista,PDT,563
LARANJAL DO JARI,Vereador,06/10/2024,JÚNIOR DA BETA,Partido Democrático Trabalhista,PDT,510
LARANJAL DO JARI,Vereador,06/10/2024,SILMARA FALCÃO,Partido Democrático Trabalhista,PDT,133
LARANJAL DO JARI,Vereador,06/10/2024,TASSIA PAIXÃO,Partido Democrático Trabalhista,PDT,255
LARANJAL DO JARI,Vereador,06/10/2024,ADELSON DO DEVALDO,Partido Democrático Trabalhista,PDT,340
LARANJAL DO JARI,Vereador,06/10/2024,PROF. WANDERLEIA PINHEIRO,Partido Democrático Trabalhista,PDT,52
LARANJAL DO JARI,Vereador,06/10/2024,ODEILSON DO SINDICATO,Partido Democrático Trabalhista,PDT,373
LARANJAL DO JARI,Vereador,06/10/2024,BEATRIZ FRAZÃO,Partido Democrático Trabalhista,PDT,150
LARANJAL DO JARI,Vereador,06/10/2024,JOSY BORGES,Partido Democrático Trabalhista,PDT,164
LARANJAL DO JARI,Vereador,06/10/2024,SAÇAKI,Partido Democrático Trabalhista,PDT,302
LARANJAL DO JARI,Vereador,06/10/2024,CEBOLA,Partido Democrático Trabalhista,PDT,261
LARANJAL DO JARI,Vereador,06/10/2024,ENFERMEIRA MÁRCIA,Partido Democrático Trabalhista,PDT,175
LARANJAL DO JARI,Vereador,06/10/2024,INDIO OPERADOR,Partido Democrático Trabalhista,PDT,440
LARANJAL DO JARI,Vereador,06/10/2024,IRMÃO TADEU,Movimento Democrático Brasileiro,MDB,735
LARANJAL DO JARI,Vereador,06/10/2024,EDIVAM DO MOCA,Movimento Democrático Brasileiro,MDB,749
LARANJAL DO JARI,Vereador,06/10/2024,ROSINHA BRANDÃO,Movimento Democrático Brasileiro,MDB,37
LARANJAL DO JARI,Vereador,06/10/2024,GEAN DA SAÚDE,Movimento Democrático Brasileiro,MDB,269
LARANJAL DO JARI,Vereador,06/10/2024,PINGO CARVALHO,Movimento Democrático Brasileiro,MDB,114
LARANJAL DO JARI,Vereador,06/10/2024,IRLANY QUEIROGA,Movimento Democrático Brasileiro,MDB,433
AMAPÁ,Vereador,06/10/2024,HUGO BECK,Partido Liberal,PL,135
AMAPÁ,Vereador,06/10/2024,DENILSON DA SAÚDE,Partido Liberal,PL,59
AMAPÁ,Vereador,06/10/2024,PROFESSORA ELIANA,Partido Liberal,PL,43
AMAPÁ,Vereador,06/10/2024,TATU,Partido Liberal,PL,138
AMAPÁ,Vereador,06/10/2024,LUCIANA GUIMARÃES,Partido Liberal,PL,8
AMAPÁ,Vereador,06/10/2024,RENATO MARQUES,União Brasil,UNIÃO,348
AMAPÁ,Vereador,06/10/2024,MAURICIO SUCUPIRA,União Brasil,UNIÃO,282
AMAPÁ,Vereador,06/10/2024,EMERSON ALVES,União Brasil,UNIÃO,185
AMAPÁ,Vereador,06/10/2024,SIMONE SILVA,União Brasil,UNIÃO,117
AMAPÁ,Vereador,06/10/2024,JUCIANE COSTA,União Brasil,UNIÃO,15
AMAPÁ,Vereador,06/10/2024,WENDELL TUBINHO,União Brasil,UNIÃO,10
AMAPÁ,Vereador,06/10/2024,JISELI GURJÃO,União Brasil,UNIÃO,26
AMAPÁ,Vereador,06/10/2024,PATRICIA SILVA,União Brasil,UNIÃO,41
AMAPÁ,Vereador,06/10/2024,BEBETO DA BASE,União Brasil,UNIÃO,101
AMAPÁ,Vereador,06/10/2024,PROFESSORA IVANETE,Solidariedade,SOLIDARIEDADE,359
AMAPÁ,Vereador,06/10/2024,ALCINEI MAMEDE,Solidariedade,SOLIDARIEDADE,83
AMAPÁ,Vereador,06/10/2024,ANDRÉ PASSOS,Solidariedade,SOLIDARIEDADE,60
